Race,Year,Circuit,Driver,DriverNumber,Team,LapNumber,PositionBefore,PositionAfter,PositionChange,ValidLapsEvaluated,Compound,TyreLife,FreshTyre,TrackStatus,IsSafetyCarPit,IsYellowFlagPit,TotalRaceLaps,RaceProgress,Label,OvertakingDifficulty,PitLossSeconds,OvertakingDifficulty_Numeric,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife_Category,Compound_Numeric,EarlyRace,MidRace,LateRace,LapsToEnd,EstimatedStintLength,InTypicalPitWindow
Bahrain Grand Prix,2022,Sakhir,STR,18,Aston Martin,38.0,14.0,15.25,1.25,4,SOFT,20.0,True,1,False,False,57.0,0.6666666666666666,1.0,Easy,20.0,3,13.0,0,0,1,0,Good,1.0,0,1,0,19.0,20.0,1
Bahrain Grand Prix,2022,Sakhir,STR,18,Aston Martin,39.0,14.0,15.25,1.25,4,MEDIUM,1.0,True,1,False,False,57.0,0.6842105263157895,1.0,Easy,20.0,3,13.0,0,0,1,0,Fresh,2.0,0,0,1,18.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,MAG,20,Haas F1 Team,14.0,6.0,7.0,1.0,4,SOFT,14.0,True,12,False,True,57.0,0.24561403508771928,1.0,Easy,20.0,3,5.0,0,0,1,0,Good,1.0,1,0,0,43.0,14.0,0
Bahrain Grand Prix,2022,Sakhir,MAG,20,Haas F1 Team,15.0,6.0,7.0,1.0,5,SOFT,4.0,False,1,False,False,57.0,0.2631578947368421,1.0,Easy,20.0,3,5.0,0,0,1,0,Fresh,1.0,1,0,0,42.0,4.0,1
Bahrain Grand Prix,2022,Sakhir,MAG,20,Haas F1 Team,34.0,7.0,7.5,0.5,4,SOFT,23.0,False,1,False,False,57.0,0.5964912280701754,1.0,Easy,20.0,3,6.0,0,0,1,0,Good,1.0,0,1,0,23.0,23.0,1
Bahrain Grand Prix,2022,Sakhir,MAG,20,Haas F1 Team,35.0,6.0,7.4,1.4000000000000004,5,MEDIUM,1.0,True,1,False,False,57.0,0.6140350877192983,1.0,Easy,20.0,3,5.0,0,0,1,0,Fresh,2.0,0,1,0,22.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,TSU,22,AlphaTauri,15.0,9.0,11.25,2.25,4,SOFT,15.0,True,1,False,False,57.0,0.2631578947368421,0.0,Easy,20.0,3,8.0,0,0,1,0,Good,1.0,1,0,0,42.0,15.0,1
Bahrain Grand Prix,2022,Sakhir,TSU,22,AlphaTauri,16.0,7.0,11.2,4.199999999999999,5,MEDIUM,1.0,True,1,False,False,57.0,0.2807017543859649,0.0,Easy,20.0,3,6.0,0,0,1,0,Fresh,2.0,1,0,0,41.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,TSU,22,AlphaTauri,29.0,10.0,13.5,3.5,4,MEDIUM,14.0,True,1,False,False,57.0,0.5087719298245614,0.0,Easy,20.0,3,9.0,0,0,1,0,Good,2.0,0,1,0,28.0,14.0,1
Bahrain Grand Prix,2022,Sakhir,TSU,22,AlphaTauri,30.0,11.0,13.4,2.4000000000000004,5,SOFT,1.0,True,1,False,False,57.0,0.5263157894736842,0.0,Easy,20.0,3,10.0,0,0,1,0,Fresh,1.0,0,1,0,27.0,1.0,1
Bahrain Grand Prix,2022,Sakhir,ALB,23,Williams,13.0,13.0,18.75,5.75,4,SOFT,13.0,True,1,False,False,57.0,0.22807017543859648,0.0,Easy,20.0,3,12.0,0,0,1,0,Good,1.0,1,0,0,44.0,13.0,0
Bahrain Grand Prix,2022,Sakhir,ALB,23,Williams,14.0,14.0,18.2,4.199999999999999,5,MEDIUM,1.0,True,12,False,True,57.0,0.24561403508771928,0.0,Easy,20.0,3,13.0,0,0,1,0,Fresh,2.0,1,0,0,43.0,1.0,0
Bahrain Grand Prix,2022,Sakhir,ALB,23,Williams,35.0,16.0,17.25,1.25,4,MEDIUM,22.0,True,1,False,False,57.0,0.6140350877192983,1.0,Easy,20.0,3,15.0,0,0,0,1,Good,2.0,0,1,0,22.0,22.0,1
