PositionBefore,PositionGapToLeader,IsLeader,IsTopThree,IsMidfield,IsBackmarker,TyreLife,Compound_Numeric,FreshTyre,RaceProgress,EarlyRace,MidRace,LateRace,LapsToEnd,OvertakingDifficulty_Numeric,PitLossSeconds,EstimatedStintLength,InTypicalPitWindow,Year
9.0,8.0,0,0,1,0,16.0,2.0,True,0.5263157894736842,0,1,0,27.0,3,20.0,16.0,1,2022
9.0,8.0,0,0,1,0,1.0,3.0,True,0.543859649122807,0,1,0,26.0,3,20.0,1.0,1,2022
16.0,15.0,0,0,0,1,24.0,2.0,True,0.42105263157894735,0,1,0,33.0,3,20.0,24.0,1,2022
17.0,16.0,0,0,0,1,1.0,3.0,True,0.43859649122807015,0,1,0,32.0,3,20.0,1.0,1,2022
5.0,4.0,0,0,0,0,13.0,1.0,False,0.19298245614035087,1,0,0,46.0,3,20.0,13.0,0,2022
5.0,4.0,0,0,0,0,2.0,3.0,False,0.21052631578947367,1,0,0,45.0,3,20.0,2.0,0,2022
5.0,4.0,0,0,0,0,17.0,3.0,False,0.47368421052631576,0,1,0,30.0,3,20.0,17.0,1,2022
5.0,4.0,0,0,0,0,1.0,2.0,True,0.49122807017543857,0,1,0,29.0,3,20.0,1.0,1,2022
16.0,15.0,0,0,0,1,12.0,1.0,True,0.21052631578947367,1,0,0,45.0,3,20.0,12.0,0,2022
17.0,16.0,0,0,0,1,1.0,2.0,True,0.22807017543859648,1,0,0,44.0,3,20.0,1.0,0,2022
14.0,13.0,0,0,1,0,23.0,2.0,True,0.6140350877192983,0,1,0,22.0,3,20.0,23.0,1,2022
14.0,13.0,0,0,1,0,3.0,1.0,False,0.631578947368421,0,1,0,21.0,3,20.0,3.0,1,2022
3.0,2.0,0,1,0,0,17.0,1.0,False,0.24561403508771928,1,0,0,43.0,3,20.0,17.0,0,2022
4.0,3.0,0,0,0,0,1.0,1.0,True,0.2631578947368421,1,0,0,42.0,3,20.0,1.0,1,2022
1.0,0.0,1,1,0,0,19.0,1.0,True,0.5789473684210527,0,1,0,24.0,3,20.0,19.0,1,2022
1.0,0.0,1,1,0,0,1.0,2.0,True,0.5964912280701754,0,1,0,23.0,3,20.0,1.0,1,2022
19.0,18.0,0,0,0,1,14.0,1.0,True,0.24561403508771928,1,0,0,43.0,3,20.0,14.0,0,2022
18.0,17.0,0,0,0,1,1.0,1.0,True,0.2631578947368421,1,0,0,42.0,3,20.0,1.0,1,2022
18.0,17.0,0,0,0,1,18.0,1.0,True,0.5614035087719298,0,1,0,25.0,3,20.0,18.0,1,2022
20.0,19.0,0,0,0,1,1.0,2.0,True,0.5789473684210527,0,1,0,24.0,3,20.0,1.0,1,2022
5.0,4.0,0,0,0,0,18.0,1.0,False,0.2631578947368421,1,0,0,42.0,3,20.0,18.0,1,2022
3.0,2.0,0,1,0,0,2.0,3.0,False,0.2807017543859649,1,0,0,41.0,3,20.0,2.0,1,2022
5.0,4.0,0,0,0,0,19.0,3.0,False,0.5789473684210527,0,1,0,24.0,3,20.0,19.0,1,2022
5.0,4.0,0,0,0,0,1.0,2.0,True,0.5964912280701754,0,1,0,23.0,3,20.0,1.0,1,2022
10.0,9.0,0,0,1,0,17.0,1.0,False,0.24561403508771928,1,0,0,43.0,3,20.0,17.0,0,2022
11.0,10.0,0,0,1,0,1.0,2.0,True,0.2631578947368421,1,0,0,42.0,3,20.0,1.0,1,2022
7.0,6.0,0,0,1,0,22.0,2.0,True,0.631578947368421,0,1,0,21.0,3,20.0,22.0,1,2022
7.0,6.0,0,0,1,0,1.0,2.0,True,0.6491228070175439,0,1,0,20.0,3,20.0,1.0,1,2022
15.0,14.0,0,0,1,0,11.0,3.0,True,0.54,0,1,0,23.0,3,19.0,11.0,1,2022
16.0,15.0,0,0,0,1,12.0,3.0,False,0.56,0,1,0,22.0,3,19.0,12.0,1,2022
13.0,12.0,0,0,1,0,8.0,2.0,True,0.16,1,0,0,42.0,3,19.0,8.0,0,2022
15.0,14.0,0,0,1,0,1.0,3.0,True,0.18,1,0,0,41.0,3,19.0,1.0,0,2022
6.0,5.0,0,0,1,0,1.0,2.0,True,0.82,0,0,1,9.0,3,19.0,1.0,0,2022
2.0,1.0,0,1,0,0,18.0,2.0,True,0.3103448275862069,1,0,0,40.0,2,20.0,18.0,1,2022
7.0,6.0,0,0,1,0,1.0,3.0,True,0.3275862068965517,1,0,0,39.0,2,20.0,1.0,1,2022
14.0,13.0,0,0,1,0,14.0,2.0,True,0.9137931034482759,0,0,1,5.0,2,20.0,14.0,0,2022
17.0,16.0,0,0,0,1,1.0,2.0,True,0.9310344827586207,0,0,1,4.0,2,20.0,1.0,0,2022
16.0,15.0,0,0,0,1,3.0,2.0,False,0.6896551724137931,0,0,1,18.0,2,20.0,3.0,1,2022
11.0,10.0,0,0,1,0,18.0,2.0,True,0.3103448275862069,1,0,0,40.0,2,20.0,18.0,1,2022
17.0,16.0,0,0,0,1,1.0,3.0,True,0.3275862068965517,1,0,0,39.0,2,20.0,1.0,1,2022
8.0,7.0,0,0,1,0,17.0,2.0,True,0.29310344827586204,1,0,0,41.0,2,20.0,17.0,1,2022
17.0,16.0,0,0,0,1,1.0,3.0,True,0.3103448275862069,1,0,0,40.0,2,20.0,1.0,1,2022
15.0,14.0,0,0,1,0,16.0,2.0,False,0.2413793103448276,1,0,0,44.0,2,20.0,16.0,0,2022
18.0,17.0,0,0,0,1,1.0,3.0,True,0.25862068965517243,1,0,0,43.0,2,20.0,1.0,1,2022
16.0,15.0,0,0,0,1,13.0,2.0,True,0.22413793103448276,1,0,0,45.0,2,20.0,13.0,0,2022
19.0,18.0,0,0,0,1,2.0,3.0,False,0.2413793103448276,1,0,0,44.0,2,20.0,2.0,0,2022
1.0,0.0,1,1,0,0,19.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,19.0,1,2022
1.0,0.0,1,1,0,0,1.0,2.0,True,0.31746031746031744,1,0,0,43.0,1,18.0,1.0,1,2022
1.0,0.0,1,1,0,0,32.0,2.0,True,0.8095238095238095,0,0,1,12.0,1,18.0,32.0,0,2022
1.0,0.0,1,1,0,0,1.0,1.0,True,0.8253968253968254,0,0,1,11.0,1,18.0,1.0,0,2022
2.0,1.0,0,1,0,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
3.0,2.0,0,1,0,0,1.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,1.0,1,2022
2.0,1.0,0,1,0,0,32.0,2.0,True,0.7936507936507936,0,0,1,13.0,1,18.0,32.0,0,2022
2.0,1.0,0,1,0,0,1.0,1.0,True,0.8095238095238095,0,0,1,12.0,1,18.0,1.0,0,2022
4.0,3.0,0,0,0,0,19.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,19.0,1,2022
3.0,2.0,0,1,0,0,1.0,2.0,True,0.31746031746031744,1,0,0,43.0,1,18.0,1.0,1,2022
5.0,4.0,0,0,0,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
5.0,4.0,0,0,0,0,1.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,1.0,1,2022
6.0,5.0,0,0,1,0,18.0,2.0,True,0.2857142857142857,1,0,0,45.0,1,18.0,18.0,1,2022
6.0,5.0,0,0,1,0,1.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,1.0,1,2022
2.0,1.0,0,1,0,0,19.0,2.0,True,0.30158730158730157,1,0,0,44.0,1,18.0,19.0,1,2022
